"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.467916667E-3,1.489635408E-1,-5.570159107E-2,4.506041296E-3
1.950491667E-2,1.318748444E-1,-1.870921627E-2,-5.114949495E-2
2.954191667E-2,1.463668048E-1,-1.395393908E-1,-5.666733161E-2
3.957891667E-2,2.180700153E-1,-4.082725644E-1,-2.391364984E-2
4.961591667E-2,2.201886028E-1,-5.507990718E-1,4.034792073E-3
5.965391667E-2,1.618656367E-1,-5.344483256E-1,8.975222707E-3
6.969091667E-2,1.036315560E-1,-4.536785185E-1,1.317300368E-2
7.972791667E-2,4.478954524E-2,-3.341563642E-1,1.943251817E-3
8.976491667E-2,-1.119301282E-2,-2.019069940E-1,-9.353176691E-3
9.980191667E-2,-5.166187510E-2,-5.275878310E-2,-1.604490168E-2
1.098389167E-1,-5.899033695E-2,8.283294737E-2,-1.695064455E-2
1.198759167E-1,-4.113357514E-2,1.559849232E-1,-2.000316046E-2
1.299129167E-1,-1.477477513E-2,1.751736850E-1,-1.395748556E-2
1.399509167E-1,5.548339337E-3,1.680529267E-1,-1.940258406E-2
1.499879167E-1,1.327958610E-2,1.809093058E-1,-2.502436563E-2
1.600249167E-1,3.999003209E-3,1.945830286E-1,-3.326152265E-2
1.700619167E-1,2.093081595E-3,1.631040424E-1,-2.827239223E-2
1.800989167E-1,1.272894721E-2,9.899377078E-2,-8.961010724E-3
1.901359167E-1,4.241532646E-3,6.223764643E-2,7.865080610E-3
2.001729167E-1,-9.093181230E-3,4.875113070E-2,2.073906735E-2
2.102099167E-1,-1.622831821E-2,3.516085446E-2,3.042134084E-2
2.202479167E-1,-2.670119889E-2,3.507856280E-2,4.117838293E-2
2.302849167E-1,-3.478597850E-2,3.838760778E-2,4.120198265E-2
2.403219167E-1,-2.778799273E-2,3.353319690E-2,2.866568416E-2
2.503589167E-1,-2.047916315E-2,1.311564911E-2,2.282765880E-2
2.603959167E-1,-9.902685881E-3,-2.358801430E-5,7.868950255E-3
2.704329167E-1,-9.496057406E-3,5.718755536E-3,-3.969406243E-3
2.804699167E-1,-1.753454283E-2,8.855426684E-3,-1.238419581E-2
2.905069167E-1,-4.225176573E-2,4.444718733E-2,-1.803324185E-2
3.005449167E-1,-4.545235261E-2,8.797069639E-2,-3.230192512E-2
3.105819167E-1,-2.505605482E-2,7.811167836E-2,-4.366038740E-2
3.206189167E-1,-1.455174852E-2,6.856850535E-2,-4.638346657E-2
3.306559167E-1,-1.975883916E-2,7.477390766E-2,-5.405493826E-2
3.406929167E-1,-1.189052872E-2,4.422318935E-2,-5.499663204E-2
3.507299167E-1,-1.755994558E-2,3.778532846E-3,-5.514760688E-2
3.607669167E-1,-2.224950679E-2,-2.190845460E-2,-6.128912047E-2
3.708039167E-1,7.411166094E-3,-8.637264371E-2,-6.872031093E-2
3.808419167E-1,-3.135620430E-2,-2.168021165E-3,-6.016197801E-2
3.908789167E-1,-2.053639665E-2,4.189252108E-2,-4.083973914E-2
4.009159167E-1,-1.390432660E-2,5.452096462E-2,-2.762673236E-2
4.109529167E-1,-1.211580355E-3,4.125105217E-2,-2.829691395E-2
4.209899167E-1,-3.215519246E-4,1.512384787E-2,-2.703484148E-2
4.310269167E-1,1.067304797E-2,-1.658684388E-2,-1.699782908E-2
4.410639167E-1,1.607793383E-2,-5.148250982E-2,-2.086660452E-2
4.511009167E-1,6.573260762E-3,-1.180583239E-1,-1.485350821E-2
4.611389167E-1,-1.220495440E-2,-1.798228920E-1,-1.081828680E-2
4.711759167E-1,1.110113226E-5,-2.328501791E-1,-6.051267497E-3
4.812129167E-1,8.103649132E-3,-3.134542108E-1,-1.088889968E-2
4.912499167E-1,6.406524684E-3,-4.146828651E-1,-1.492513623E-2
5.012869167E-1,2.985643223E-4,-5.426882505E-1,-1.971616223E-2
5.113239167E-1,-4.115757532E-3,-6.685524583E-1,-2.961144969E-2
5.213609167E-1,-2.379287034E-4,-8.762995601E-1,-3.111320548E-2
5.313989167E-1,-1.717767864E-2,-1.121801853E0,-1.628013514E-2
5.414359167E-1,-8.097636700E-2,-1.334504247E0,-2.290954068E-2
5.514729167E-1,-1.001571119E-1,-1.566616535E0,-2.832903527E-2
5.615099167E-1,-1.051779687E-1,-1.804354548E0,-2.619957179E-2
5.715469167E-1,-1.139415577E-1,-2.047399044E0,-2.500197105E-2
5.815839167E-1,-1.495845169E-1,-2.333014011E0,-8.081842214E-3
5.916209167E-1,-1.714380831E-1,-2.597384453E0,3.746923059E-3
6.016579167E-1,-1.490235925E-1,-2.889511347E0,3.652409650E-4
6.116959167E-1,-1.218058392E-1,-3.206806898E0,-1.444368158E-3
6.217329167E-1,-1.747404337E-1,-3.423224926E0,-1.259022951E-2
6.317695417E-1,-2.495890558E-1,-3.546425343E0,-2.858643234E-2
6.418065417E-1,-3.279560506E-1,-3.636880875E0,-2.096659504E-2
6.518435417E-1,-3.542569578E-1,-3.578069687E0,-3.162803128E-3
6.618805417E-1,-3.826028407E-1,-3.601329803E0,5.076114833E-2
6.719175417E-1,-4.058974981E-1,-3.592051268E0,1.118592098E-1
6.819545417E-1,-4.391454756E-1,-3.508079290E0,1.117545441E-1
6.919925417E-1,-4.660394788E-1,-3.469486475E0,7.813917100E-2
7.020295417E-1,-4.463536739E-1,-3.566149235E0,4.296600819E-2
7.120665417E-1,-4.414996803E-1,-3.647790432E0,1.766921766E-2
7.221035417E-1,-4.690721929E-1,-3.668844461E0,2.360034361E-2
7.321405417E-1,-5.100190043E-1,-3.617053270E0,-1.088274084E-2
7.421775417E-1,-5.240863562E-1,-3.558254242E0,-7.735710591E-2
7.522145417E-1,-4.788612723E-1,-3.606127739E0,-1.655180454E-1
