"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.940916667E-3,5.445675659E-1,2.647993469E-1,8.762178955E0
1.197791667E-2,6.631210327E-1,2.489323425E-1,9.359886017E0
2.201591667E-2,1.285676422E0,4.559518433E-1,9.471853180E0
3.205291667E-2,1.229842529E0,5.438191223E-1,1.007285339E1
4.208991667E-2,1.176553345E0,6.182144165E-1,1.121857086E1
5.212691667E-2,1.419647827E0,8.415499878E-1,1.116902390E1
6.216391667E-2,1.452579346E0,7.560777283E-1,1.026670029E1
7.220091667E-2,1.406175842E0,6.221063232E-1,9.624535675E0
8.223791667E-2,1.409169617E0,5.754034424E-1,9.268725586E0
9.227491667E-2,1.378633118E0,5.812413025E-1,9.017847290E0
1.023129167E-1,1.279539185E0,5.117857361E-1,8.831634521E0
1.123499167E-1,1.150208130E0,4.589456177E-1,8.760233002E0
1.223869167E-1,1.122665405E0,4.346960449E-1,8.987759857E0
1.324239167E-1,1.179996185E0,4.772076416E-1,9.367370453E0
1.424609167E-1,1.245859222E0,5.954617310E-1,9.643845520E0
1.524979167E-1,1.290017395E0,6.873706055E-1,9.673034821E0
1.625349167E-1,1.284778290E0,6.878196716E-1,9.667047272E0
1.725719167E-1,1.278790741E0,6.858737183E-1,9.890382843E0
1.826099167E-1,1.261277161E0,6.646179199E-1,1.006162674E1
1.926469167E-1,1.268911285E0,6.816824341E-1,1.000339783E1
2.026839167E-1,1.276844788E0,6.300398254E-1,9.832902374E0
2.127209167E-1,1.259630585E0,6.168672180E-1,9.777966614E0
2.227579167E-1,1.196761322E0,6.352789307E-1,9.741592255E0
2.327949167E-1,1.158590698E0,6.005511475E-1,9.759554901E0
2.428319167E-1,1.160686340E0,4.986131287E-1,9.767338715E0
2.528689167E-1,1.175056458E0,4.239184570E-1,9.807006226E0
2.629069167E-1,1.156944122E0,3.673361206E-1,9.767937469E0
2.729439167E-1,1.132694550E0,3.619473267E-1,9.682914276E0
2.829809167E-1,1.105750580E0,3.490740967E-1,9.641001434E0
2.930179167E-1,1.123862915E0,3.897894287E-1,9.622739410E0
3.030549167E-1,1.187630310E0,3.677851868E-1,9.446705475E0
3.130919167E-1,1.283730469E0,3.847000122E-1,9.544003143E0
3.231289167E-1,1.347497864E0,4.628375244E-1,9.707313538E0
3.331669167E-1,1.318009186E0,5.113366699E-1,9.544302521E0
3.432039167E-1,1.276395721E0,5.156776428E-1,9.670041046E0
3.532409167E-1,1.260977783E0,5.137316895E-1,9.876162415E0
3.632779167E-1,1.266067200E0,5.216651917E-1,9.903705139E0
3.733149167E-1,1.312321014E0,4.239184570E-1,1.005399261E1
3.833519167E-1,1.250050507E0,5.556445312E-1,9.657018127E0
3.933889167E-1,9.966275024E-1,5.105882263E-1,9.384285278E0
4.034259167E-1,1.148112488E0,6.279441833E-1,9.646988983E0
4.134639167E-1,1.289119263E0,5.873785400E-1,9.766889648E0
4.235009167E-1,1.322499847E0,6.210585022E-1,9.846224670E0
4.335379167E-1,1.321751404E0,5.418731689E-1,9.819729767E0
4.435749167E-1,1.370549927E0,4.414320374E-1,9.904004517E0
4.536119167E-1,1.303040314E0,5.179229736E-1,1.012180161E1
4.636489167E-1,1.340462494E0,4.704716492E-1,1.015158966E1
4.736859167E-1,1.309177551E0,5.219645691E-1,1.008228378E1
4.837229167E-1,1.411115570E0,4.034111023E-1,1.001941452E1
4.937609167E-1,1.409319305E0,3.673361206E-1,1.012374756E1
5.037979167E-1,1.522334290E0,4.704716492E-1,1.033525772E1
5.138349167E-1,1.478774872E0,4.848417664E-1,1.042417282E1
5.238719167E-1,1.497336273E0,6.749464417E-1,1.068073929E1
5.339089167E-1,1.507365417E0,6.427633667E-1,1.102143082E1
5.439459167E-1,1.835632782E0,6.727011108E-1,1.108040817E1
5.539829167E-1,1.989812164E0,5.254074097E-1,1.089254883E1
5.640199167E-1,1.888323212E0,4.540058899E-1,1.079989151E1
5.740579167E-1,1.990710297E0,4.578977966E-1,1.079360458E1
5.840949167E-1,2.177222443E0,4.459226990E-1,1.102547241E1
5.941319167E-1,2.442171478E0,4.572990417E-1,1.130089966E1
6.041689167E-1,2.501597900E0,3.345542908E-1,1.109103607E1
6.142059167E-1,2.593207397E0,4.752616882E-1,1.091170898E1
6.242429167E-1,2.745440826E0,6.116281128E-1,1.061652283E1
6.342795417E-1,2.750230865E0,6.732998657E-1,1.000773880E1
6.443165417E-1,3.041525116E0,7.391629028E-1,9.801467743E0
6.543545417E-1,3.467539215E0,2.118095398E-1,9.121880951E0
6.643915417E-1,3.884721680E0,4.116439819E-1,8.863817596E0
6.744285417E-1,4.593048706E0,5.818400574E-1,8.789721680E0
6.844655417E-1,4.797972565E0,5.185217285E-1,7.994425507E0
6.945025417E-1,4.764591980E0,6.860234070E-1,7.884853363E0
7.045395417E-1,4.914430389E0,7.385641479E-1,8.136330414E0
7.145765417E-1,5.210963745E0,3.881428528E-1,8.071664886E0
7.246145417E-1,5.549110565E0,-6.975494385E-2,7.612868958E0
7.346515417E-1,5.655389557E0,-9.565109253E-2,7.046596527E0
7.446885417E-1,5.676944733E0,2.739303589E-2,6.611002350E0
7.547255417E-1,5.694158936E0,1.803749084E-1,6.485563202E0
7.647625417E-1,5.677842865E0,-6.331832886E-2,6.265221405E0
7.747995417E-1,5.722001038E0,-2.210902405E-1,6.129902802E0
7.848365417E-1,6.188730469E0,-4.972659302E-1,5.610632629E0
7.948735417E-1,6.519991608E0,-7.268884277E-1,4.842879181E0
8.049115417E-1,7.118147736E0,-5.001100159E-1,4.732408905E0
8.149485417E-1,7.861052856E0,-2.380050659E-1,4.551734619E0
8.249855417E-1,8.342451782E0,-7.249424744E-1,3.545077972E0
8.350225417E-1,8.584348755E0,-3.447331238E-1,3.762725372E0
8.450595417E-1,8.787326660E0,-7.140151978E-2,3.726949768E0
8.550965417E-1,8.766519928E0,9.774673462E-2,3.400628357E0
8.651335417E-1,9.009315033E0,3.882925415E-1,3.406765594E0
8.751705417E-1,9.422156525E0,5.870791626E-1,3.448977814E0
8.852085417E-1,9.603279877E0,9.810598755E-1,3.070714417E0
8.952455417E-1,9.386380920E0,1.019679565E0,2.467917938E0
9.052825417E-1,9.542356567E0,1.028062134E0,2.088157654E0
9.153195417E-1,9.686656494E0,8.963360596E-1,2.106269989E0
9.253565417E-1,9.625583496E0,7.957452393E-1,2.225871277E0
9.353935417E-1,9.804461517E0,7.866142273E-1,2.168390808E0
9.454305417E-1,9.829160156E0,6.599775696E-1,1.576970673E0
9.554685417E-1,9.885592804E0,4.218228149E-1,4.909790039E-1
9.655055417E-1,9.853409729E0,2.779719543E-1,1.924996948E-1
9.755425417E-1,9.676327972E0,2.905458069E-1,-1.992356873E-1
9.855795417E-1,9.439370728E0,2.953358459E-1,-5.709127808E-1
9.956165417E-1,9.255702667E0,4.074526978E-1,-8.900491333E-1
1.005653542E0,9.037007446E0,1.574725342E-1,-4.728666687E-1
1.015690542E0,8.860674133E0,1.145118713E-1,-8.159532166E-1
1.025728542E0,8.854387207E0,1.073268127E-1,-1.277293854E0
1.035765542E0,8.467890930E0,3.017724609E-1,-1.199605408E0
1.045802542E0,8.258626099E0,2.526745605E-1,-1.596879272E0
1.055839542E0,8.541388092E0,7.948471069E-2,-1.939067688E0
1.065876542E0,8.782835999E0,1.511856079E-1,-1.719923401E0
1.075913542E0,8.738228760E0,1.721420288E-1,-1.374441833E0
1.085950542E0,8.657696228E0,8.187973022E-2,-9.132508850E-1
1.095987542E0,8.673413544E0,3.141966248E-1,-1.910028076E-1
1.106025542E0,9.061855774E0,6.572831726E-1,6.750961304E-1
1.116062542E0,9.691446533E0,5.721102905E-1,1.771865387E0
1.126099542E0,1.072100555E1,4.580474854E-1,3.190016327E0
1.136136542E0,1.149519562E1,2.987786865E-1,4.780458984E0
1.146173542E0,1.119746475E1,-2.450404358E-1,5.705235901E0
1.156210542E0,1.061727127E1,-4.803511047E-1,5.419031067E0
1.166247542E0,1.033840118E1,-2.050735474E-1,4.202211456E0
1.176284542E0,1.021326141E1,1.118174744E-1,2.737657013E0
1.186322542E0,1.000743942E1,2.198927307E-1,1.618284760E0
1.196359542E0,9.689949646E0,2.085163879E-1,9.190887451E-1
1.206396542E0,9.378896484E0,2.017803955E-1,5.782475281E-1
1.216433542E0,9.141340485E0,2.127076721E-1,4.584965515E-1
1.226470542E0,9.042396240E0,2.246827698E-1,4.752616882E-1
1.236507542E0,9.054820404E0,2.206411743E-1,5.697152710E-1
1.246544542E0,9.144783325E0,2.130070496E-1,7.500901794E-1
1.256582542E0,9.212143250E0,2.342628479E-1,9.714797974E-1
1.266619542E0,9.355395355E0,2.531236267E-1,1.179397430E0
1.276656542E0,9.504934387E0,2.504292297E-1,1.373394012E0
1.286693542E0,9.631571045E0,2.213896179E-1,1.603166199E0
1.296730542E0,9.743837585E0,1.830693054E-1,1.842518463E0
1.306767542E0,9.855205994E0,1.163081360E-1,2.059716797E0
1.316804542E0,9.933343506E0,5.119354248E-2,2.186802521E0
1.326841542E0,9.966873779E0,4.969665527E-2,2.201022949E0
1.336879542E0,9.984537048E0,7.933502197E-2,2.071991272E0
1.346916542E0,9.937834167E0,1.481918335E-1,1.820663910E0
1.356953542E0,9.817334747E0,2.133064270E-1,1.537452850E0
1.366990542E0,9.653724976E0,2.418969727E-1,1.306034088E0
1.377027542E0,9.514664154E0,2.719844055E-1,1.190324707E0
1.387064542E0,9.416917419E0,2.957849121E-1,1.205892334E0
1.397101542E0,9.395661621E0,3.049159241E-1,1.264420624E0
1.407138542E0,9.460476837E0,2.653981018E-1,1.271156616E0
1.417176542E0,9.541757812E0,2.219883728E-1,1.272952881E0
1.427213542E0,9.572294312E0,1.728904724E-1,1.335971832E0
1.437250542E0,9.577982483E0,-2.305206299E-2,1.524130554E0
