"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.756987590585782E9,"2025-09-04 21:06:30.586 UTC+09:00"
"PAUSE",1.125008858333422E1,1.756987601836130E9,"2025-09-04 21:06:41.836 UTC+09:00"
