t,x,y,z
2.004971780E-1,3.878879920E-2,-4.856235534E-2,-2.443389036E-3
2.028738960E-1,3.252761811E-2,-5.100574717E-2,-3.817795310E-3
2.052506150E-1,2.504473738E-2,-5.100574717E-2,-1.527118147E-3
2.076273340E-1,1.511846948E-2,-5.451811850E-2,-5.497625098E-3
2.100040530E-1,1.007897966E-2,-5.696150661E-2,-5.497625098E-3
2.123807710E-1,2.596100792E-3,-6.291726977E-2,-4.428642802E-3
2.147574900E-1,-2.443389036E-3,-7.009471953E-2,-2.137965523E-3
2.171342090E-1,-8.704573847E-3,-7.605048269E-2,-2.290677279E-3
2.195109800E-1,-1.618745178E-2,-8.338065445E-2,3.512371797E-3
2.218876980E-1,-2.244863659E-2,-9.284878522E-2,5.803049076E-3
2.242644170E-1,-3.008422814E-2,-1.061347127E-1,5.650337320E-3
2.266411360E-1,-3.756710514E-2,-1.180462316E-1,2.901524538E-3
2.290178550E-1,-4.382828996E-2,-1.229330078E-1,1.527118147E-3
2.313945730E-1,-4.749337584E-2,-1.276670843E-1,1.374406274E-3
2.337712920E-1,-5.375456065E-2,-1.252236813E-1,1.374406274E-3
2.361480110E-1,-5.879404768E-2,-1.204896197E-1,1.221694518E-3
2.385247300E-1,-6.490252167E-2,-1.143811494E-1,2.443389036E-3
2.409015000E-1,-6.749862432E-2,-1.133121699E-1,2.443389036E-3
2.432782190E-1,-7.116370648E-2,-1.120904684E-1,2.443389036E-3
2.456549380E-1,-7.116370648E-2,-1.120904684E-1,1.221694518E-3
2.480316570E-1,-7.360709459E-2,-1.133121699E-1,1.068982761E-3
2.504083750E-1,-7.620319724E-2,-1.143811494E-1,3.512371797E-3
2.527850940E-1,-7.742489129E-2,-1.156028435E-1,2.290677279E-3
2.551618130E-1,-7.742489129E-2,-1.180462316E-1,-1.527118147E-3
2.575385320E-1,-7.864658535E-2,-1.215586066E-1,9.162708884E-4
2.599152500E-1,-7.620319724E-2,-1.252236813E-1,9.162708884E-4
2.622920210E-1,-6.994201243E-2,-1.301104724E-1,1.068982761E-3
2.646687400E-1,-6.505523622E-2,-1.264453828E-1,-1.527118147E-4
2.670454590E-1,-6.001574174E-2,-1.227803007E-1,2.443389036E-3
2.694221780E-1,-5.375456065E-2,-1.180462316E-1,1.374406274E-3
2.717988960E-1,-4.749337584E-2,-1.084253863E-1,-9.162708884E-4
2.741756150E-1,-4.001049697E-2,-9.880454093E-2,6.108472589E-4
2.765523340E-1,-3.619270027E-2,-8.689302206E-2,1.985253533E-3
2.789290530E-1,-2.993151546E-2,-7.131642103E-2,5.955760833E-3
2.813057710E-1,-2.244863659E-2,-6.047387794E-2,3.665083554E-3
2.836824900E-1,-1.740914769E-2,-5.451811850E-2,1.527118147E-4
2.860592610E-1,-1.114796288E-2,-5.451811850E-2,3.054236295E-4
2.884359800E-1,-4.886778072E-3,-5.329642445E-2,-2.137965523E-3
2.908126980E-1,1.527118147E-4,-5.207473040E-2,-4.428642802E-3
2.931894170E-1,6.261184346E-3,-5.207473040E-2,-5.497625098E-3
2.955661360E-1,1.130067464E-2,-5.451811850E-2,-4.275931045E-3
2.979428550E-1,1.511846948E-2,-5.818320066E-2,-6.719320081E-3
3.003195730E-1,1.878355257E-2,-5.940489471E-2,-2.901524538E-3
3.026962920E-1,2.244863659E-2,-6.169557199E-2,7.635590737E-4
3.050730110E-1,2.626643144E-2,-6.291726977E-2,4.428642802E-3
3.074497300E-1,2.870982140E-2,-5.940489471E-2,9.468132630E-3
3.098265000E-1,3.252761811E-2,-5.940489471E-2,1.328592747E-2
3.122032190E-1,3.863608837E-2,-5.573981255E-2,1.710372418E-2
3.145799380E-1,4.611896724E-2,-5.100574717E-2,1.969982497E-2
3.169566570E-1,4.993676394E-2,-4.504998401E-2,1.847812906E-2
3.193333750E-1,4.871506989E-2,-3.894151375E-2,1.374406368E-2
3.217100940E-1,4.504998401E-2,-3.054236248E-2,7.482878864E-3
3.240868130E-1,3.878879920E-2,-1.863084175E-2,6.261184346E-3
3.264635320E-1,3.634541109E-2,-9.009997360E-3,7.635590620E-3
3.288403030E-1,3.268032894E-2,-1.832541777E-3,1.007897966E-2
3.312170210E-1,3.008422814E-2,-3.054236295E-3,1.496575773E-2
3.335937400E-1,2.886253223E-2,-1.145338640E-2,1.969982497E-2
3.359704590E-1,2.764083818E-2,-1.740914769E-2,1.969982497E-2
3.383471780E-1,2.382304333E-2,-2.702999115E-2,1.832541823E-2
3.407238960E-1,2.137965336E-2,-3.176405653E-2,1.572931744E-2
3.431006150E-1,1.878355257E-2,-3.420744836E-2,1.695101149E-2
3.454773340E-1,1.130067464E-2,-3.176405653E-2,1.801999472E-2
3.478540530E-1,5.039489828E-3,-2.458660305E-2,2.046338283E-2
3.502308230E-1,-1.068982761E-3,-1.969982497E-2,2.275406010E-2
3.526075420E-1,-6.108472589E-3,-1.496575773E-2,2.275406010E-2
3.549842610E-1,-9.773556143E-3,-1.374406368E-2,2.397575416E-2
3.573609800E-1,-9.773556143E-3,-1.374406368E-2,2.519745007E-2
3.597376980E-1,-1.481304597E-2,-2.092151903E-2,2.504473738E-2
3.621144170E-1,-1.740914769E-2,-3.176405653E-2,2.367033064E-2
3.644911360E-1,-1.985253580E-2,-3.894151375E-2,2.351761982E-2
3.668678550E-1,-2.244863659E-2,-4.367557913E-2,2.596100792E-2
3.692445730E-1,-2.489202656E-2,-4.489727318E-2,2.825168520E-2
3.716212920E-1,-2.611372061E-2,-4.611896724E-2,2.825168520E-2
3.739980630E-1,-2.611372061E-2,-4.489727318E-2,2.702999115E-2
3.763747820E-1,-2.489202656E-2,-4.734066129E-2,2.458660305E-2
3.787515000E-1,-2.229592577E-2,-3.894151375E-2,2.473931387E-2
3.811282190E-1,-2.107422985E-2,-3.771981969E-2,2.473931387E-2
3.835049380E-1,-1.863084175E-2,-3.771981969E-2,2.473931387E-2
3.858816570E-1,-1.863084175E-2,-3.649812192E-2,2.351761982E-2
3.882583750E-1,-1.863084175E-2,-3.771981969E-2,2.229592577E-2
3.906350940E-1,-1.863084175E-2,-4.260659590E-2,2.229592577E-2
