"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.919141250E-1,1.003004242E1,1.959425354E-1,1.439855804E0
8.019511250E-1,1.021805145E1,5.180726624E-1,1.116528168E0
8.119881250E-1,9.889933777E0,5.861810303E-1,1.017883301E0
8.220251250E-1,8.647367706E0,-4.141886902E-1,1.212927704E0
8.320621250E-1,8.753796387E0,-5.391787720E-1,1.310524750E0
8.421021250E-1,8.947792969E0,-2.073188782E-1,1.181493073E0
8.521391250E-1,8.970096588E0,-2.544708252E-3,1.143472137E0
8.621761250E-1,8.788973236E0,2.351609802E-1,1.230291595E0
8.722131250E-1,8.598120117E0,5.161267090E-1,1.462458801E0
8.822501250E-1,8.832532654E0,6.857240295E-1,1.392404480E0
8.922871250E-1,9.057814178E0,6.658154297E-1,1.400337982E0
9.023241250E-1,9.178612976E0,6.836283875E-1,1.525777130E0
9.123611250E-1,9.331145782E0,6.927593994E-1,1.582958221E0
9.223981250E-1,9.660460968E0,6.727011108E-1,1.692530365E0
9.324351250E-1,9.969418488E0,6.069877625E-1,1.794169006E0
9.424721250E-1,1.018452118E1,3.766168213E-1,2.030826874E0
9.525091250E-1,1.039872574E1,1.422042847E-1,2.362537079E0
9.625461250E-1,1.023197250E1,-3.278182983E-2,2.528990936E0
9.725831250E-1,1.002076172E1,-3.847000122E-2,2.579585724E0
9.826201250E-1,9.873318329E0,1.043330383E-1,2.473755798E0
9.926571250E-1,9.662107544E0,2.330653381E-1,2.240989838E0
1.002694125E0,9.487420807E0,3.260220337E-1,2.062111816E0
1.012731125E0,9.461524658E0,4.117936707E-1,1.913171539E0
1.022768125E0,9.510472870E0,4.881349182E-1,1.766177216E0
1.032805125E0,9.549242249E0,5.339396667E-1,1.655557251E0
1.042842125E0,9.524543610E0,5.189707947E-1,1.634002075E0
1.052879125E0,9.460027771E0,4.577481079E-1,1.616787872E0
1.062916125E0,9.409432983E0,3.767665100E-1,1.608854370E0
1.072953125E0,9.413624268E0,3.421884155E-1,1.601819000E0
1.082990125E0,9.455836487E0,3.447331238E-1,1.596280518E0
1.093027125E0,9.500443726E0,3.719764709E-1,1.637295227E0
1.103064125E0,9.504934387E0,4.164340210E-1,1.728455658E0
1.113101125E0,9.481732635E0,4.809498596E-1,1.852248230E0
1.123138125E0,9.499395905E0,5.351371765E-1,2.027234344E0
1.133175125E0,9.514514465E0,5.776487732E-1,2.168241119E0
1.143212125E0,9.524393921E0,5.572911072E-1,2.185455322E0
1.153249125E0,9.564360809E0,4.881349182E-1,2.155218201E0
1.163286125E0,9.605375519E0,4.403842163E-1,2.049687653E0
1.173323125E0,9.613309021E0,4.396357727E-1,1.959275665E0
1.183361125E0,9.613009644E0,4.658312988E-1,1.904938660E0
1.193398125E0,9.568701782E0,4.912783813E-1,1.890867920E0
1.203435125E0,9.499695282E0,4.884342957E-1,1.908680878E0
1.213472125E0,9.447753296E0,4.855902100E-1,1.910028076E0
1.223509125E0,9.455237732E0,4.802014160E-1,1.845362549E0
1.233546125E0,9.477541351E0,4.547543335E-1,1.805545349E0
1.243583125E0,9.519753571E0,3.842509460E-1,1.798060913E0
1.253620125E0,9.561965790E0,3.200344849E-1,1.828747101E0
1.263657125E0,9.568701782E0,2.817141724E-1,1.874402161E0
1.273694125E0,9.534872131E0,2.330653381E-1,1.928739166E0
1.283731125E0,9.464219055E0,1.954934692E-1,2.017205200E0
1.293768125E0,9.431586914E0,1.788780212E-1,2.159559174E0
1.303805125E0,9.445358276E0,1.601669312E-1,2.310295715E0
1.313842125E0,9.492510223E0,1.459465027E-1,2.501747589E0
1.323879125E0,9.552385712E0,1.296304321E-1,2.694546661E0
1.333916125E0,9.570647736E0,1.181044006E-1,2.825823669E0
1.343953125E0,9.581425323E0,9.325607300E-2,2.879561920E0
1.353990125E0,9.596543884E0,4.071533203E-2,2.844385071E0
1.364027125E0,9.604477386E0,-2.604583740E-2,2.753973083E0
1.374064125E0,9.615704041E0,-8.756790161E-2,2.633623352E0
1.384101125E0,9.605225830E0,-1.534309387E-1,2.524200897E0
1.394138125E0,9.621092834E0,-1.951940918E-1,2.394121399E0
1.404175125E0,9.615254974E0,-1.866618347E-1,2.301613770E0
1.414212125E0,9.589807892E0,-1.407073975E-1,2.199825439E0
1.424249125E0,9.538314972E0,-2.095642090E-2,2.144290924E0
1.434286125E0,9.490863647E0,1.161584473E-1,2.097887421E0
1.444323125E0,9.453890533E0,2.264790344E-1,2.110610962E0
1.454360125E0,9.436227264E0,3.095562744E-1,2.159708862E0
1.464397125E0,9.437424774E0,3.510200500E-1,2.219135284E0
1.474434125E0,9.474846954E0,3.466790771E-1,2.287243652E0
1.484471125E0,9.534273376E0,3.477268982E-1,2.341730347E0
1.494508125E0,9.591903534E0,2.757266235E-1,2.447709961E0
1.504545125E0,9.624835052E0,7.304809570E-2,2.572101288E0
1.514582125E0,9.646090851E0,-6.496490479E-2,2.594105530E0
1.524619125E0,9.624086609E0,-5.313949585E-2,2.495161285E0
1.534656125E0,9.564211121E0,-3.113525391E-2,2.364782410E0
1.544693125E0,9.520052948E0,-1.930984497E-2,2.302661591E0
1.554730125E0,9.499695282E0,3.038681030E-2,2.288590851E0
1.564767125E0,9.502689056E0,1.529818726E-1,2.264790344E0
1.574804125E0,9.486522675E0,3.270698547E-1,2.245031433E0
1.584841125E0,9.499395905E0,3.963757324E-1,2.212848358E0
1.594878125E0,9.510921936E0,3.106040955E-1,2.148931274E0
1.604915125E0,9.487869873E0,2.249821472E-1,2.127974854E0
1.614953125E0,9.508077850E0,2.100132751E-1,2.166744232E0
1.624990125E0,9.530381470E0,1.648072815E-1,2.211351471E0
1.635027125E0,9.559271393E0,1.332229614E-2,2.235002289E0
1.645064125E0,9.545200653E0,-1.073268127E-1,2.165846100E0
1.655101125E0,9.500593414E0,-8.786727905E-2,2.062261505E0
1.665138125E0,9.487271118E0,-4.775070190E-2,1.977986755E0
1.675175125E0,9.503886566E0,8.681945801E-3,1.919458466E0
1.685212125E0,9.523944855E0,7.798782349E-2,1.905387726E0
1.695249125E0,9.523795166E0,1.574725342E-1,1.951641541E0
1.705286125E0,9.509574738E0,2.366578674E-1,2.017354889E0
1.715323125E0,9.548044739E0,2.950364685E-1,2.077230377E0
1.725360125E0,9.585017853E0,3.297642517E-1,2.114203491E0
1.735397125E0,9.626930695E0,3.324586487E-1,2.127675476E0
1.745434125E0,9.694739685E0,3.312611389E-1,2.114203491E0
1.755471125E0,9.755662994E0,3.025209045E-1,2.030377808E0
1.765508125E0,9.755363617E0,2.511776733E-1,1.910776520E0
1.775545125E0,9.702074432E0,1.790277100E-1,1.815275116E0
1.785582125E0,9.655371552E0,1.601669312E-1,1.771116943E0
1.795619125E0,9.635612640E0,1.616638184E-1,1.775158539E0
1.805656125E0,9.636810150E0,1.480421448E-1,1.830393677E0
1.815693125E0,9.624236298E0,1.052311707E-1,1.873653717E0
1.825730125E0,9.589209137E0,6.960525513E-2,1.896855469E0
1.835763125E0,9.529034271E0,8.741821289E-2,1.956431580E0
1.845800125E0,9.441765747E0,1.248403931E-1,2.025737457E0
1.855837125E0,9.394913177E0,1.463955688E-1,2.091600494E0
1.865874125E0,9.393266602E0,1.661544800E-1,2.085313568E0
1.875911125E0,9.443262634E0,1.703457642E-1,1.994602203E0
1.885948125E0,9.447154541E0,1.740879822E-1,1.909279633E0
1.895985125E0,9.457333374E0,1.523831177E-1,1.846560059E0
1.906022125E0,9.486522675E0,1.505868530E-1,1.793121185E0
1.916059125E0,9.517059174E0,1.926493835E-1,1.738185425E0
1.926096125E0,9.531429291E0,2.174977112E-1,1.746867371E0
1.936133125E0,9.528884583E0,1.927990723E-1,1.806443481E0
1.946170125E0,9.517208862E0,1.565744019E-1,1.783840485E0
1.956207125E0,9.474248199E0,1.309776306E-1,1.738335114E0
1.966244125E0,9.479337616E0,1.228944397E-1,1.692081299E0
1.976281125E0,9.484277344E0,1.275347900E-1,1.705403595E0
1.986318125E0,9.513915710E0,8.053253174E-2,1.776954803E0
1.996355125E0,9.592801666E0,1.811233521E-2,1.882635040E0
2.006392125E0,9.646390228E0,6.735992432E-3,2.007625122E0
2.016429125E0,9.697883148E0,1.511856079E-2,2.076931000E0
2.026466125E0,9.729916534E0,3.951782227E-2,2.064357147E0
2.036504125E0,9.709558868E0,9.310638428E-2,2.059866486E0
2.046541125E0,9.633816376E0,1.004411316E-1,2.077978821E0
2.056578125E0,9.542057190E0,9.624984741E-2,2.073787537E0
2.066615125E0,9.503886566E0,1.543290710E-1,2.050585785E0
2.076652125E0,9.532028046E0,2.263293457E-1,2.007774811E0
2.086689125E0,9.568402405E0,2.917433167E-1,1.879192200E0
2.096726125E0,9.592202911E0,3.388952637E-1,1.732946320E0
2.106763125E0,9.569300537E0,3.626957703E-1,1.635349274E0
2.116800125E0,9.519304504E0,3.682342529E-1,1.598226471E0
2.126837125E0,9.503587189E0,3.278182983E-1,1.607507172E0
2.136874125E0,9.533824310E0,2.426454163E-1,1.628463593E0
2.146911125E0,9.565408630E0,1.622625732E-1,1.691482544E0
2.156948125E0,9.628128204E0,1.315763855E-1,1.816622314E0
2.166985125E0,9.705367584E0,1.486408997E-1,1.939965820E0
2.177022125E0,9.752968597E0,1.989363098E-1,2.003134460E0
2.187059125E0,9.767638092E0,2.282752991E-1,2.051483917E0
2.197096125E0,9.791588287E0,2.433938599E-1,2.065255280E0
2.207133125E0,9.812844086E0,2.607577515E-1,2.076182556E0
2.217170125E0,9.823322296E0,2.555186462E-1,2.063009949E0
2.227207125E0,9.798473969E0,2.502795410E-1,2.022144928E0
2.237244125E0,9.753118286E0,2.432441711E-1,1.949545898E0
2.247281125E0,9.690099335E0,2.448907471E-1,1.862576752E0
2.257318125E0,9.630523224E0,2.691403198E-1,1.788630524E0
2.267355125E0,9.593699799E0,2.817141724E-1,1.684596863E0
2.277392125E0,9.539063416E0,2.731819153E-1,1.546883240E0
2.287429125E0,9.474248199E0,2.829116821E-1,1.391955414E0
