"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.542741250E-1,-1.239208281E-1,6.010773778E-1,1.434529573E-1
7.643111250E-1,-1.806168556E-1,4.496843815E-1,1.650389433E-1
7.743481250E-1,-1.958531439E-1,3.144621253E-1,1.401203424E-1
7.843851250E-1,-2.043869793E-1,3.412851989E-1,1.542337686E-1
7.944221250E-1,-2.250803709E-1,5.362825394E-1,2.338957191E-1
8.044591250E-1,-1.910664737E-1,5.904786587E-1,3.268757463E-1
8.144961250E-1,-9.814245999E-2,3.976927996E-1,2.439986765E-1
8.245331250E-1,-1.694641076E-2,2.041858882E-1,1.784183383E-1
8.345701250E-1,4.687339067E-2,1.246999800E-1,1.238455027E-1
8.446101250E-1,9.219639748E-2,1.277492940E-1,6.204151735E-2
8.546471250E-1,9.991353005E-2,1.660084277E-1,-8.722548373E-3
8.646841250E-1,4.847564176E-2,2.175943851E-1,-6.920026988E-2
8.747211250E-1,2.414730843E-4,2.477864474E-1,-8.562628180E-2
8.847581250E-1,-3.336282820E-2,2.451920062E-1,-7.102816552E-2
8.947951250E-1,-5.133247748E-2,1.917480677E-1,-8.235829324E-2
9.048321250E-1,-5.270187557E-2,1.563786268E-1,-1.204630658E-1
9.148691250E-1,-7.001969218E-2,1.940514296E-1,-1.278956234E-1
9.249061250E-1,-8.707430959E-2,2.872492969E-1,-8.580329269E-2
9.349431250E-1,-1.020202711E-1,3.680228889E-1,-2.649217471E-2
9.449801250E-1,-1.058349833E-1,3.678622842E-1,5.232460797E-2
9.550171250E-1,-9.141218662E-2,3.138070405E-1,7.021489739E-2
9.650541250E-1,-6.055947393E-2,2.015537471E-1,4.336836934E-2
9.750911250E-1,-3.549189866E-2,8.875909448E-2,3.427141905E-2
9.851281250E-1,-2.222643048E-2,2.491753362E-2,2.690538019E-2
9.951651250E-1,-2.122637816E-2,1.046969369E-2,1.441902202E-2
1.005202125E0,-3.251791373E-2,1.713398658E-2,4.027900286E-3
1.015239125E0,-4.030825198E-2,3.406670690E-2,-3.152142977E-3
1.025276125E0,-4.788707569E-2,5.372509733E-2,-4.252028652E-3
1.035313125E0,-4.973602295E-2,6.415578723E-2,4.881713539E-5
1.045350125E0,-4.979008436E-2,7.102434337E-2,1.035518246E-3
1.055387125E0,-5.183624476E-2,8.998000622E-2,3.519289894E-3
