"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.756987730929967E9,"2025-09-04 21:08:50.930 UTC+09:00"
"PAUSE",1.121672008333371E1,1.756987742146945E9,"2025-09-04 21:09:02.147 UTC+09:00"
